,Absolute Magnitude,orbit_id,Eccentricity,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,ma,rms,Mean Motion,Minimum Orbit Intersection,Jupiter Tisserand Invariant,data_arc,class,pha
3079,19.7,28,0.521836965,18.41238097,269.8934785,1266.272068,1.095288177,249.07099130000003,3.485944985,293.7204808,0.52274,0.284299093,0.26516300000000004,3.346,5239.0,0.0,0.0
3080,19.6,16,0.455304079,1.314510183,349.3209209,1053.598755,1.103753273,134.7444136,2.948978648,17.67294293,0.46622,0.341686053,0.12049,3.679,8426.0,0.0,0.0
3081,19.9,27,0.667090914,7.766892174,42.24982929,1796.656166,0.962875223,146.3203099,4.821738443,40.97388311,0.57143,0.200372229,0.013008,2.9,6836.0,1.0,1.0
3082,23.1,13,0.495595793,11.5729698,162.8292466,309.5979002,0.451764138,139.6166931,1.339514096,229.5111091,0.52562,1.162798584,0.0307819,6.516,4017.0,2.0,0.0
3083,18.8,31,0.765481083,13.04192864,166.00057859999995,1208.832742,0.5208225000000001,253.3471569,3.920802145,65.32148543,0.61106,0.297807949,0.042963,3.162,7296.0,1.0,1.0
3084,22.1,23,0.5840053470000001,14.73671153,310.3490847,1365.537393,1.002054159,201.4059843,3.815575839,146.6383627,0.45339,0.26363247300000003,0.0379605,3.228,5498.0,1.0,0.0
3085,18.3,15,0.554557185,8.875157305,297.7806728,1417.481278,1.100030082,127.9167613,3.839010548,105.1678062,0.62287,0.253971608,0.161889,3.24,4466.0,0.0,0.0
3086,24.1,21,0.312603008,5.689662886,139.4114729,657.0253901000002,1.016709257,341.1027827,1.941433619,311.9388648,0.5384,0.547924031,0.0384908,4.526,6523.0,1.0,0.0
3087,20.2,48,0.245898716,0.597922521,333.6211147,805.9708613,1.278135672,153.10142219999997,2.111689276,84.30474031,0.49478,0.446666272,0.293412,4.176,7403.0,0.0,0.0
3088,24.8,12,0.616252379,0.285634412,94.42059661,1419.927263,0.948762425,96.92692105,3.995958395,65.91100229999999,0.43177,0.253534114,0.00385737,3.19,5.0,1.0,0.0
3089,19.2,11,0.5861472679999999,17.68279611,129.593841,1533.211819,1.07691555,351.5341788,4.127426313,308.4688026,0.48433,0.234801216,0.096756,3.091,7603.0,0.0,0.0
3090,20.5,11,0.446783337,40.23766328,358.5287618000001,326.7953259,0.513665257,313.922585,1.343347706,274.49453680000005,0.62027,1.101606943,0.06417,6.181,14.0,2.0,0.0
3091,21.25,11,0.5566957770000001,13.73226567,58.12404313,1075.890896,0.91092315,216.8907695,3.198774445,347.0833686000001,0.45064,0.334606419,0.0209822,3.5460000000000003,5.0,1.0,1.0
3092,21.7,50,0.462036068,6.731543039,62.49949706,561.6444677000002,0.716685357,83.19534252,1.947751103,48.24563934,0.32662,0.640974888,0.00182788,4.797,7335.0,1.0,1.0
3093,19.2,28,0.454787497,38.16518013,359.81034460000006,803.6200695,0.922289727,102.6205852,2.460940564,100.7421154,0.51646,0.447972884,0.186276,3.874,4017.0,1.0,0.0
3094,21.0,19,0.23770701,23.57889035,5.087381335,631.526202,1.098121911,165.412124,1.782980044,248.3123918,0.60422,0.570047607,0.106877,4.549,6962.0,0.0,0.0
3095,19.9,11,0.336825548,11.53741466,40.5266031,900.4267697,1.210211014,97.88192402,2.439540605,92.52273871,0.38581,0.399810414,0.30795700000000004,3.944,57.0,0.0,0.0
3096,19.2,11,0.615014729,17.87023565,197.1313603,1753.01825,1.095391721,2.565743486,4.595172593,79.87838954,0.48673,0.205360098,0.0957635,2.939,7016.0,0.0,0.0
3097,23.7,18,0.430378448,2.669858628,55.10226069,268.8265112,0.464339389,17.91144393,1.166004081,208.3143262,0.5442100000000001,1.339153636,0.016005600000000002,7.097,6264.0,2.0,0.0
3098,19.3,20,0.388061852,4.39345162,11.58610907,1103.944285,1.279204604,220.27998990000003,2.901625134,210.1351619,0.7742100000000001,0.326103414,0.274608,3.654,13054.0,0.0,0.0
3099,21.6,32,0.655027111,14.6074756,81.92464075,1524.962972,0.894455792,224.2199008,4.291202674,277.5275772,0.6295,0.236071306,0.00496694,3.039,13.0,1.0,1.0
3100,20.8,11,0.231504462,14.1697081,213.5017224,652.9590194,1.131965044,12.40981018,1.813959788,83.90948712,0.61515,0.551336285,0.128632,4.5360000000000005,59.0,0.0,0.0
3101,20.2,13,0.469766599,10.56613877,75.06887717,1233.0754029999996,1.19324023,180.39589530000003,3.307571025,325.5485835,0.43318,0.291952949,0.179042,3.454,6306.0,0.0,0.0
3102,29.0,11,0.110594111,2.830243276,72.54529642,320.895579,0.815849788,8.167137054,1.018745189,86.72083895,0.92911,1.121860267,0.00370092,6.506,3.0,2.0,0.0
3103,18.8,18,0.60401074,12.37436995,222.1177675,1894.316673,1.186459298,268.677805,4.805921894,313.2005114,0.5585100000000001,0.190042143,0.307858,2.918,7698.0,0.0,0.0
3104,19.7,19,0.430160742,6.922631505,134.0583563,1121.950114,1.204118177,160.5714758,3.022049678,167.1964151,0.5603899999999999,0.320869881,0.192553,3.605,1070.0,0.0,0.0
3105,17.4,11,0.8667627370000001,50.31689638,64.76761748,1894.806882,0.399273101,57.00672218,5.594141846,319.1375683,0.55194,0.189992977,0.180539,2.22,51.0,1.0,0.0
3106,19.5,13,0.4077880720000001,4.680640126,61.08112655,1133.081187,1.25965675,250.6486624,2.9944174789999995,127.8097621,0.80142,0.317717745,0.26002,3.61,7136.0,0.0,0.0
3107,21.1,14,0.60083999,3.791710826,147.3721526,1288.307145,0.924899086,94.75831261,3.709328108,241.9193903,0.5768399999999999,0.279436469,0.0467275,3.31,31.0,1.0,1.0
3108,19.1,43,0.5505953729999999,5.592323226,171.7153136,1299.337046,1.047256671,159.53888080000004,3.613383689,205.4198986,0.48545,0.27706437,0.0469681,3.345,5092.0,0.0,1.0
